"ID";"TYPE";"CAPACITEIT";"OPNAMEDATUM";"X_COORD";"Y_COORD";"GML"
"1";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121531,197419196";"486880,858178769";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121531.197419196,486880.858178769,0 </gml:coordinates></gml:Point>"
"2";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121531,495886606";"486882,748472362";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121531.495886606,486882.748472362,0 </gml:coordinates></gml:Point>"
"3";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121530,799462651";"486879,564819996";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121530.799462651,486879.564819996,0 </gml:coordinates></gml:Point>"
"4";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121533,585158471";"486886,927016092";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121533.585158471,486886.927016092,0 </gml:coordinates></gml:Point>"
"5";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121533,983115017";"486888,518842275";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121533.983115017,486888.518842275,0 </gml:coordinates></gml:Point>"
"6";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121534,480560699";"486890,508625004";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121534.480560699,486890.508625004,0 </gml:coordinates></gml:Point>"
"7";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121534,978006381";"486892,498407733";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121534.978006381,486892.498407733,0 </gml:coordinates></gml:Point>"
"8";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121535,375962927";"486894,289212189";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121535.375962927,486894.289212189,0 </gml:coordinates></gml:Point>"
"9";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121535,873408609";"486896,278994918";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121535.873408609,486896.278994918,0 </gml:coordinates></gml:Point>"
"10";"Fietsrek";"6";"2011-08-01 00:00:00.0";"121521,447483825";"486871,207732535";"<gml:Point srsName="SDO:90112" xmlns:gml="http://www.opengis.net/gml"><gml:coordinates decimal="." cs="," ts=" ">121521.447483825,486871.207732535,0 </gml:coordinates></gml:Point>"
